artist,year,song,album
"Jimi Hendrix",1967,"Hey Joe","Band Of Gypsies"
"The Doors",1967,"Light My Fire","Morrison Hotel"
"The Doors",1969,"Touch Me","Morrison Hotel"
"The Doors",1971,"Riders On the Storm","Morrison Hotel"
"The Doors",1968,"Hello, I Love You, Won't You Tell Me Your Name?","Morrison Hotel"
"The Moody Blues",1968,"Nights in White Satin","A Question Of Balance"
"The Moody Blues",1970,Question,"A Question Of Balance"
"The Moody Blues",1965,"Go Now","A Question Of Balance"
"Joe Cocker",1968,"With a Little Help From My Friends","Mad Dogs & Englishmen"
"Joe Cocker",1975,"You Are So Beautiful","Mad Dogs & Englishmen"
"Joe Cocker",1970,"The Letter","Mad Dogs & Englishmen"
"Elton John",1997,"Candle in the Wind '97","Elton John"
"Elton John",1973,"Crocodile Rock","Elton John"
"Elton John",1997,"Something About the Way You look Tonight","Elton John"
"Elton John",1973,"Goodbye Yellow Brick Road","Elton John"
"Elton John",1994,"Can You Feel the Love Tonight","Elton John"
"Elton John",1985,Nikita,"Elton John"
"Elton John",1975,"Philadelphia Freedom","Elton John"
"Elton John",1973,Daniel,"Elton John"
"Elton John",1971,"Your Song","Elton John"
"Elton John",1974,"Bennie & the Jets","Elton John"
"Elton John",1992,"The One","Elton John"
"Elton John",1972,"Rocket Man","Elton John"
"Elton John",1995,Believe,"Elton John"
"Elton John",1980,"Little Jeannie","Elton John"
"Elton John",1990,Sacrifice,"Elton John"
"Elton John",1975,"Island Girl","Elton John"
"Elton John",1974,"Lucy in the Sky With Diamonds","Elton John"
"Elton John",1974,"Don't Let the Sun Go Down On Me","Elton John"
"Elton John",1988,"I Don't Wanna Go On With You Like That","Elton John"
"Elton John",1983,"I'm Still Standing","Elton John"
"Elton John",1994,"Circle of Life","Elton John"
"Elton John",1975,"Someone Saved My Life Tonight","Elton John"
"Elton John",1990,"You Gotta Love Someone","Elton John"
"Elton John",1983,"I Guess That's Why They Call it the Blues","Elton John"
"Elton John",1974,"The Bitch is Back","Elton John"
"Elton John",1976,"Sorry Seems to Be the Hardest Word","Elton John"
"Elton John",1982,"Blue Eyes","Elton John"
"Elton John",1984,"Sad Songs (Say So Much)","Elton John"
"Elton John",1982,"Empty Garden (Hey Hey Johnny)","Elton John"
"Bob Dylan",1965,"Like a Rolling Stone","New Morning"
"Bob Dylan",1963,"Blowin' in the Wind","New Morning"
"Bob Dylan",1973,"Knockin' On Heaven's Door","New Morning"
"Bob Dylan",1965,"Positively Fourth Street","New Morning"
"Bob Dylan",1969,"Lay Lady Lay","New Morning"
"Bob Dylan",1976,Hurricane,"New Morning"
"Bob Dylan",1966,"Rainy Day Woman Nos 12 & 35","New Morning"
"Bob Dylan",1965,"Like a Rolling Stone","Self Portrait"
"Bob Dylan",1963,"Blowin' in the Wind","Self Portrait"
"Bob Dylan",1973,"Knockin' On Heaven's Door","Self Portrait"
"Bob Dylan",1965,"Positively Fourth Street","Self Portrait"
"Bob Dylan",1969,"Lay Lady Lay","Self Portrait"
"Bob Dylan",1976,Hurricane,"Self Portrait"
"Bob Dylan",1966,"Rainy Day Woman Nos 12 & 35","Self Portrait"
Chicago,1976,"If You Leave Me Now","Chicago II"
Chicago,1982,"Hard to Say I'm Sorry","Chicago II"
Chicago,1989,"Look Away","Chicago II"
Chicago,1970,"25 Or 6 to 4","Chicago II"
Chicago,1985,"You're the Inspiration","Chicago II"
Chicago,1972,"Saturday in the Park","Chicago II"
Chicago,1973,"Just You 'n' Me","Chicago II"
"Derek & The Dominos",1972,Layla,"Layla & Other Assorted Love Songs"
"The Beatles",1968,"Hey Jude","Hey Jude"
"The Beatles",1970,"Let it Be","Hey Jude"
"The Beatles",1964,"I Want to Hold Your Hand","Hey Jude"
"The Beatles",1965,Help!,"Hey Jude"
"The Beatles",1967,"All You Need is Love","Hey Jude"
"The Beatles",1964,"She Loves You","Hey Jude"
"The Beatles",1965,Yesterday,"Hey Jude"
"The Beatles",1969,"Get Back","Hey Jude"
"The Beatles",1967,"Hello, Goodbye","Hey Jude"
"The Beatles",1967,"Penny Lane","Hey Jude"
"The Beatles",1964,"I Feel Fine","Hey Jude"
"The Beatles",1966,"Paperback Writer","Hey Jude"
"The Beatles",1964,"A Hard Day's Night","Hey Jude"
"The Beatles",1966,"Yellow Submarine","Hey Jude"
"The Beatles",1965,"Ticket to Ride","Hey Jude"
"The Beatles",1969,"Come Together","Hey Jude"
"The Beatles",1969,"The Ballad of John & Yoko","Hey Jude"
"The Beatles",1964,"Can't Buy Me Love","Hey Jude"
"The Beatles",1968,"Lady Madonna","Hey Jude"
"The Beatles",1967,"Strawberry Fields Forever","Hey Jude"
"The Beatles",1969,Something,"Hey Jude"
"The Beatles",1966,"We Can Work it Out","Hey Jude"
"The Beatles",1965,"Day Tripper","Hey Jude"
"The Beatles",1966,"Eleanor Rigby","Hey Jude"
"The Beatles",1966,Michelle,"Hey Jude"
"The Beatles",1970,"The Long & Winding Road","Hey Jude"
"The Beatles",1969,"Ob-La-Di, Ob-La-Da","Hey Jude"
"The Beatles",1965,"Eight Days a Week","Hey Jude"
"The Beatles",1964,"Twist & Shout","Hey Jude"
"The Beatles",1964,"Please Please Me","Hey Jude"
"The Beatles",1968,Revolution,"Hey Jude"
"The Beatles",1964,"I Saw Her Standing There","Hey Jude"
"The Beatles",1964,"Love Me Do","Hey Jude"
"The Beatles",1965,"Rock 'n' Roll Music","Hey Jude"
"The Beatles",1995,"Free As a Bird","Hey Jude"
"The Beatles",1966,"Nowhere Man","Hey Jude"
"The Beatles",1963,"From Me to You","Hey Jude"
"The Beatles",1964,"All My Loving","Hey Jude"
"The Beatles",1964,"I Should Have Known Better","Hey Jude"
"The Beatles",1969,"Don't Let Me Down","Hey Jude"
"The Beatles",1996,"Real Love","Hey Jude"
"The Beatles",1967,"A Day in the Life","Hey Jude"
"The Beatles",1964,"She's a Woman","Hey Jude"
"The Beatles",1964,"Do You Want to Know a Secret?","Hey Jude"
"James Taylor",1971,"You've Got a Friend","Sweet Baby James"
"James Taylor",1970,"Fire & Rain","Sweet Baby James"
"James Taylor",1977,"Handy Man","Sweet Baby James"
"James Taylor",1975,"How Sweet it is (to be Loved by You)","Sweet Baby James"
"Pink Floyd",1980,"Another Brick in the Wall (part 2)","Atom Heart Mother"
"Pink Floyd",1973,Money,"Atom Heart Mother"
"Pink Floyd",1975,"Wish You Were Here","Atom Heart Mother"
"The Carpenters",1970,"(They Long to Be) Close to You","Close To You"
"The Carpenters",1975,"Please Mr Postman","Close To You"
"The Carpenters",1973,"Top of the World","Close To You"
"The Carpenters",1973,"Yesterday Once More","Close To You"
"The Carpenters",1970,"We've Only Just Begun","Close To You"
"The Carpenters",1971,Superstar,"Close To You"
"The Carpenters",1972,"Hurting Each Other","Close To You"
"The Carpenters",1971,"For All We Know","Close To You"
"The Carpenters",1975,"Only Yesterday","Close To You"
"The Carpenters",1971,"Rainy Days & Mondays","Close To You"
"Tom Jones",1971,"She's a Lady","Tom Jones Live In Las Vegas"
"Tom Jones",1968,Delilah,"Tom Jones Live In Las Vegas"
"Tom Jones",1967,"The Green Green Grass of Home","Tom Jones Live In Las Vegas"
"Tom Jones",1968,"Help Yourself","Tom Jones Live In Las Vegas"
"Tom Jones",1965,"It's Not Unusual","Tom Jones Live In Las Vegas"
"Tom Jones",1970,"Without Love (There Is Nothing)","Tom Jones Live In Las Vegas"
"Tom Jones",1970,"Daughter of Darkness","Tom Jones Live In Las Vegas"
"Tom Jones",1965,"What's New Pussycat?","Tom Jones Live In Las Vegas"
"Tom Jones",1969,"I'll Never Fall in Love Again","Tom Jones Live In Las Vegas"
"Tom Jones",1969,"Love Me Tonight","Tom Jones Live In Las Vegas"
Melanie,1972,"Brand New Key","Candles In The Rain"
Melanie,1970,"Lay Down (Candles in The Rain)","Candles In The Rain"
"Black Sabbath",1970,Paranoid,"Black Sabbath"
"Paul McCartney",1971,"Another Day",McCartney
"Paul McCartney",1980,"Coming Up",McCartney
"Paul McCartney",1993,"Hope of Deliverance",McCartney
"Paul McCartney",1984,"No More Lonely Nights",McCartney
"Van Morrison",1967,"Brown Eyed Girl",Moondance
"Deep Purple",1973,"Smoke On the Water","Deep Purple In Rock"
"Deep Purple",1970,"Black Night","Deep Purple In Rock"
"Deep Purple",1968,Hush,"Deep Purple In Rock"
"Creedence Clearwater Revival",1969,"Proud Mary","Willy & The Poor Boys"
"Creedence Clearwater Revival",1970,"Up Around the Bend","Willy & The Poor Boys"
"Creedence Clearwater Revival",1969,"Bad Moon Rising","Willy & The Poor Boys"
"Creedence Clearwater Revival",1970,"Lookin' Out My Back Door","Willy & The Poor Boys"
"Creedence Clearwater Revival",1970,"Travellin' Band","Willy & The Poor Boys"
"Creedence Clearwater Revival",1971,"Have You Ever Seen the Rain?","Willy & The Poor Boys"
"Creedence Clearwater Revival",1969,"Green River","Willy & The Poor Boys"
"Creedence Clearwater Revival",1969,"Down On the Corner","Willy & The Poor Boys"
"Creedence Clearwater Revival",1970,"Who'll Stop the Rain","Willy & The Poor Boys"
"Creedence Clearwater Revival",1971,"Sweet Hitch-Hiker","Willy & The Poor Boys"
"Creedence Clearwater Revival",1969,"Fortunate Son","Willy & The Poor Boys"
"Creedence Clearwater Revival",1970,"Long As I Can See the Light","Willy & The Poor Boys"
Santana,2000,"Maria Maria",Santana
Santana,1970,"Black Magic Woman",Santana
Santana,1971,"Oye Como Va",Santana
"The Rolling Stones",1965,"(I Can't Get No) Satisfaction","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1973,Angie,"Get Yer Ya-Ya's Out!"
"The Rolling Stones",1969,"Honky Tonk Woman","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1968,"Jumpin' Jack Flash","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1966,"Paint it Black","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1971,"Brown Sugar","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1978,"Miss You","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1965,"Get Off of My Cloud","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1966,"19th Nervous Breakdown","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1981,"Start Me Up","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1965,"The Last Time","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1967,"Ruby Tuesday","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1967,"Let's Spend the Night Together","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1980,"Emotional Rescue","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1972,"Tumbling Dice","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1989,"Mixed Emotions","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1983,"Undercover of the Night","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1997,"Anybody Seen My Baby","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1964,"Time is On My Side","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1967,"We Love You","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1966,"As Tears Go By","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1966,"Have You Seen Your Mother, Baby","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1967,"She's a Rainbow","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1986,"Harlem Shuffle","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1964,"It's All Over Now","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1994,"Love is Strong","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1974,"It's Only Rock 'n' Roll (But I Like It)","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1981,"Waiting On a Friend","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1982,"Going to a Go-Go","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1976,"Fool to Cry","Get Yer Ya-Ya's Out!"
"The Rolling Stones",1968,"Street Fighting Man","Get Yer Ya-Ya's Out!"
"Blood Sweat & Tears",1969,"Spinning Wheel","Blood, Sweat & Tears 3"
"Blood Sweat & Tears",1969,"You've Made Me So Very Happy","Blood, Sweat & Tears 3"
"Blood Sweat & Tears",1969,"And When I Die","Blood, Sweat & Tears 3"
"The Who",1965,"My Generation","Live At Leeds"
"The Who",1971,"Won't Get Fooled Again","Live At Leeds"
"The Who",1967,"Happy Jack","Live At Leeds"
"The Who",1967,"I Can See For Miles","Live At Leeds"
"The Who",1968,"Magic Bus","Live At Leeds"
"The Who",1969,"Pinball Wizard","Live At Leeds"
"The Who",1978,"Who Are You?","Live At Leeds"
"The Who",1970,"See Me, Feel Me","Live At Leeds"
"Tom Jones",1971,"She's a Lady",Tom
"Tom Jones",1968,Delilah,Tom
"Tom Jones",1967,"The Green Green Grass of Home",Tom
"Tom Jones",1968,"Help Yourself",Tom
"Tom Jones",1965,"It's Not Unusual",Tom
"Tom Jones",1970,"Without Love (There Is Nothing)",Tom
"Tom Jones",1970,"Daughter of Darkness",Tom
"Tom Jones",1965,"What's New Pussycat?",Tom
"Tom Jones",1969,"I'll Never Fall in Love Again",Tom
"Tom Jones",1969,"Love Me Tonight",Tom
"Engelbert Humperdinck",1967,"The Last Waltz","Engelbert Humperdinck"
"Engelbert Humperdinck",1967,"Release Me (And Let Me Love Again)","Engelbert Humperdinck"
"Engelbert Humperdinck",1968,"A Man Without Love","Engelbert Humperdinck"
"Engelbert Humperdinck",1977,"After the Lovin'","Engelbert Humperdinck"
"Johnny Cash",1963,"Ring of Fire","Hello I'm Johnny Cash"
"Johnny Cash",1969,"A Boy Named Sue","Hello I'm Johnny Cash"
"Johnny Cash",1956,"I Walk the Line","Hello I'm Johnny Cash"
"Johnny Cash",2003,Hurt,"Hello I'm Johnny Cash"
Steppenwolf,1968,"Born to Be Wild","Steppenwolf Live"
Steppenwolf,1968,"Magic Carpet Ride","Steppenwolf Live"
"Grand Funk Railroad",1974,"The Loco-Motion","Closer To Home"
"Grand Funk Railroad",1973,"We're an American Band","Closer To Home"
"Grand Funk Railroad",1975,"Some Kind of Wonderful","Closer To Home"
"Simon & Garfunkel",1970,"Bridge Over Troubled Water","Bridge Over Troubled Water"
"Simon & Garfunkel",1966,"The Sounds of Silence","Bridge Over Troubled Water"
"Simon & Garfunkel",1968,"Mrs Robinson","Bridge Over Troubled Water"
"Simon & Garfunkel",1970,"El Condor Pasa (If I Could)","Bridge Over Troubled Water"
"Simon & Garfunkel",1969,"The Boxer","Bridge Over Troubled Water"
"Simon & Garfunkel",1970,Cecilia,"Bridge Over Troubled Water"
"Simon & Garfunkel",1966,"I am a Rock","Bridge Over Troubled Water"
"Simon & Garfunkel",1966,"Homeward Bound","Bridge Over Troubled Water"
Santana,2000,"Maria Maria",Abraxas
Santana,1970,"Black Magic Woman",Abraxas
Santana,1971,"Oye Como Va",Abraxas
"George Harrison",1971,"My Sweet Lord","All Things Must Pass"
"George Harrison",1988,"Got My Mind Set On You","All Things Must Pass"
"George Harrison",1981,"All Those Years Ago","All Things Must Pass"
"George Harrison",1971,"What is Life?","All Things Must Pass"
"George Harrison",1973,"Give Me Love (Give Me Peace On Earth)","All Things Must Pass"
"The Beatles",1968,"Hey Jude","Let It Be"
"The Beatles",1970,"Let it Be","Let It Be"
"The Beatles",1964,"I Want to Hold Your Hand","Let It Be"
"The Beatles",1965,Help!,"Let It Be"
"The Beatles",1967,"All You Need is Love","Let It Be"
"The Beatles",1964,"She Loves You","Let It Be"
"The Beatles",1965,Yesterday,"Let It Be"
"The Beatles",1969,"Get Back","Let It Be"
"The Beatles",1967,"Hello, Goodbye","Let It Be"
"The Beatles",1967,"Penny Lane","Let It Be"
"The Beatles",1964,"I Feel Fine","Let It Be"
"The Beatles",1966,"Paperback Writer","Let It Be"
"The Beatles",1964,"A Hard Day's Night","Let It Be"
"The Beatles",1966,"Yellow Submarine","Let It Be"
"The Beatles",1965,"Ticket to Ride","Let It Be"
"The Beatles",1969,"Come Together","Let It Be"
"The Beatles",1969,"The Ballad of John & Yoko","Let It Be"
"The Beatles",1964,"Can't Buy Me Love","Let It Be"
"The Beatles",1968,"Lady Madonna","Let It Be"
"The Beatles",1967,"Strawberry Fields Forever","Let It Be"
"The Beatles",1969,Something,"Let It Be"
"The Beatles",1966,"We Can Work it Out","Let It Be"
"The Beatles",1965,"Day Tripper","Let It Be"
"The Beatles",1966,"Eleanor Rigby","Let It Be"
"The Beatles",1966,Michelle,"Let It Be"
"The Beatles",1970,"The Long & Winding Road","Let It Be"
"The Beatles",1969,"Ob-La-Di, Ob-La-Da","Let It Be"
"The Beatles",1965,"Eight Days a Week","Let It Be"
"The Beatles",1964,"Twist & Shout","Let It Be"
"The Beatles",1964,"Please Please Me","Let It Be"
"The Beatles",1968,Revolution,"Let It Be"
"The Beatles",1964,"I Saw Her Standing There","Let It Be"
"The Beatles",1964,"Love Me Do","Let It Be"
"The Beatles",1965,"Rock 'n' Roll Music","Let It Be"
"The Beatles",1995,"Free As a Bird","Let It Be"
"The Beatles",1966,"Nowhere Man","Let It Be"
"The Beatles",1963,"From Me to You","Let It Be"
"The Beatles",1964,"All My Loving","Let It Be"
"The Beatles",1964,"I Should Have Known Better","Let It Be"
"The Beatles",1969,"Don't Let Me Down","Let It Be"
"The Beatles",1996,"Real Love","Let It Be"
"The Beatles",1967,"A Day in the Life","Let It Be"
"The Beatles",1964,"She's a Woman","Let It Be"
"The Beatles",1964,"Do You Want to Know a Secret?","Let It Be"
"Crosby, Stills, Nash & Young",1970,Ohio,"Deja Vu"
"Crosby, Stills, Nash & Young",1970,Woodstock,"Deja Vu"
"Led Zeppelin",1970,"Whole Lotta Love","Led Zeppelin 3"
"Led Zeppelin",1971,"Stairway to Heaven","Led Zeppelin 3"
"Led Zeppelin",1972,"Black Dog","Led Zeppelin 3"
"Led Zeppelin",1971,"Immigrant Song","Led Zeppelin 3"
"Led Zeppelin",1975,Kashmir,"Led Zeppelin 3"
"Creedence Clearwater Revival",1969,"Proud Mary","Cosmo's Factory"
"Creedence Clearwater Revival",1970,"Up Around the Bend","Cosmo's Factory"
"Creedence Clearwater Revival",1969,"Bad Moon Rising","Cosmo's Factory"
"Creedence Clearwater Revival",1970,"Lookin' Out My Back Door","Cosmo's Factory"
"Creedence Clearwater Revival",1970,"Travellin' Band","Cosmo's Factory"
"Creedence Clearwater Revival",1971,"Have You Ever Seen the Rain?","Cosmo's Factory"
"Creedence Clearwater Revival",1969,"Green River","Cosmo's Factory"
"Creedence Clearwater Revival",1969,"Down On the Corner","Cosmo's Factory"
"Creedence Clearwater Revival",1970,"Who'll Stop the Rain","Cosmo's Factory"
"Creedence Clearwater Revival",1971,"Sweet Hitch-Hiker","Cosmo's Factory"
"Creedence Clearwater Revival",1969,"Fortunate Son","Cosmo's Factory"
"Creedence Clearwater Revival",1970,"Long As I Can See the Light","Cosmo's Factory"
"Neil Young",1972,"Heart of Gold","After The Goldrush"
"Black Sabbath",1970,Paranoid,Paranoid
"Led Zeppelin",1970,"Whole Lotta Love","Four Symbols (Led Zeppelin 4)"
"Led Zeppelin",1971,"Stairway to Heaven","Four Symbols (Led Zeppelin 4)"
"Led Zeppelin",1972,"Black Dog","Four Symbols (Led Zeppelin 4)"
"Led Zeppelin",1971,"Immigrant Song","Four Symbols (Led Zeppelin 4)"
"Led Zeppelin",1975,Kashmir,"Four Symbols (Led Zeppelin 4)"
"The Rolling Stones",1965,"(I Can't Get No) Satisfaction","Sticky Fingers"
"The Rolling Stones",1973,Angie,"Sticky Fingers"
"The Rolling Stones",1969,"Honky Tonk Woman","Sticky Fingers"
"The Rolling Stones",1968,"Jumpin' Jack Flash","Sticky Fingers"
"The Rolling Stones",1966,"Paint it Black","Sticky Fingers"
"The Rolling Stones",1971,"Brown Sugar","Sticky Fingers"
"The Rolling Stones",1978,"Miss You","Sticky Fingers"
"The Rolling Stones",1965,"Get Off of My Cloud","Sticky Fingers"
"The Rolling Stones",1966,"19th Nervous Breakdown","Sticky Fingers"
"The Rolling Stones",1981,"Start Me Up","Sticky Fingers"
"The Rolling Stones",1965,"The Last Time","Sticky Fingers"
"The Rolling Stones",1967,"Ruby Tuesday","Sticky Fingers"
"The Rolling Stones",1967,"Let's Spend the Night Together","Sticky Fingers"
"The Rolling Stones",1980,"Emotional Rescue","Sticky Fingers"
"The Rolling Stones",1972,"Tumbling Dice","Sticky Fingers"
"The Rolling Stones",1989,"Mixed Emotions","Sticky Fingers"
"The Rolling Stones",1983,"Undercover of the Night","Sticky Fingers"
"The Rolling Stones",1997,"Anybody Seen My Baby","Sticky Fingers"
"The Rolling Stones",1964,"Time is On My Side","Sticky Fingers"
"The Rolling Stones",1967,"We Love You","Sticky Fingers"
"The Rolling Stones",1966,"As Tears Go By","Sticky Fingers"
"The Rolling Stones",1966,"Have You Seen Your Mother, Baby","Sticky Fingers"
"The Rolling Stones",1967,"She's a Rainbow","Sticky Fingers"
"The Rolling Stones",1986,"Harlem Shuffle","Sticky Fingers"
"The Rolling Stones",1964,"It's All Over Now","Sticky Fingers"
"The Rolling Stones",1994,"Love is Strong","Sticky Fingers"
"The Rolling Stones",1974,"It's Only Rock 'n' Roll (But I Like It)","Sticky Fingers"
"The Rolling Stones",1981,"Waiting On a Friend","Sticky Fingers"
"The Rolling Stones",1982,"Going to a Go-Go","Sticky Fingers"
"The Rolling Stones",1976,"Fool to Cry","Sticky Fingers"
"The Rolling Stones",1968,"Street Fighting Man","Sticky Fingers"
"John Lennon",1971,Imagine,Imagine
"John Lennon",1980,"(Just Like) Starting Over",Imagine
"John Lennon",1981,Woman,Imagine
"John Lennon",1970,"Instant Karma",Imagine
"John Lennon",1969,"Give Peace a Chance",Imagine
"John Lennon",1972,"Happy Xmas (War is Over)",Imagine
"John Lennon",1971,"Power to the People",Imagine
"John Lennon",1974,"Whatever Gets You Thru the Night",Imagine
"John Lennon",1975,"Stand By Me",Imagine
"John Lennon",1984,"Nobody Told Me",Imagine
"John Lennon",1981,"Watching the Wheels",Imagine
"Carole King",1971,"It's Too Late",Tapestry
"Janis Joplin",1971,"Me & Bobby McGee",Pearl
"The Who",1965,"My Generation","Who's Next"
"The Who",1971,"Won't Get Fooled Again","Who's Next"
"The Who",1967,"Happy Jack","Who's Next"
"The Who",1967,"I Can See For Miles","Who's Next"
"The Who",1968,"Magic Bus","Who's Next"
"The Who",1969,"Pinball Wizard","Who's Next"
"The Who",1978,"Who Are You?","Who's Next"
"The Who",1970,"See Me, Feel Me","Who's Next"
"Rod Stewart",1971,"Maggie May","Every Picture Tells A Story"
"Rod Stewart",1979,"Do Ya Think I'm Sexy?","Every Picture Tells A Story"
"Rod Stewart",1976,"Tonight's the Night (Gonna Be Alright)","Every Picture Tells A Story"
"Rod Stewart",1983,"Baby Jane","Every Picture Tells A Story"
"Rod Stewart",1975,Sailing,"Every Picture Tells A Story"
"Rod Stewart",1991,"Rhythm of My Heart","Every Picture Tells A Story"
"Rod Stewart",1977,"You're in My Heart (The Final Acclaim)","Every Picture Tells A Story"
"Rod Stewart",1993,"Have I Told You Lately","Every Picture Tells A Story"
"Rod Stewart",1981,Passion,"Every Picture Tells A Story"
"Rod Stewart",1981,"Young Turks","Every Picture Tells A Story"
"Rod Stewart",1990,"Downtown Train","Every Picture Tells A Story"
"Rod Stewart",1981,"Tonight I'm Yours (Don't Hurt Me)","Every Picture Tells A Story"
"Rod Stewart",1991,"The Motown Song","Every Picture Tells A Story"
"Rod Stewart",1971,"Reason to Believe","Every Picture Tells A Story"
"Rod Stewart",1972,"You Wear it Well","Every Picture Tells A Story"
"Elton John",1997,"Candle in the Wind '97","Tumbleweed Connection"
"Elton John",1973,"Crocodile Rock","Tumbleweed Connection"
"Elton John",1997,"Something About the Way You look Tonight","Tumbleweed Connection"
"Elton John",1973,"Goodbye Yellow Brick Road","Tumbleweed Connection"
"Elton John",1994,"Can You Feel the Love Tonight","Tumbleweed Connection"
"Elton John",1985,Nikita,"Tumbleweed Connection"
"Elton John",1975,"Philadelphia Freedom","Tumbleweed Connection"
"Elton John",1973,Daniel,"Tumbleweed Connection"
"Elton John",1971,"Your Song","Tumbleweed Connection"
"Elton John",1974,"Bennie & the Jets","Tumbleweed Connection"
"Elton John",1992,"The One","Tumbleweed Connection"
"Elton John",1972,"Rocket Man","Tumbleweed Connection"
"Elton John",1995,Believe,"Tumbleweed Connection"
"Elton John",1980,"Little Jeannie","Tumbleweed Connection"
"Elton John",1990,Sacrifice,"Tumbleweed Connection"
"Elton John",1975,"Island Girl","Tumbleweed Connection"
"Elton John",1974,"Lucy in the Sky With Diamonds","Tumbleweed Connection"
"Elton John",1974,"Don't Let the Sun Go Down On Me","Tumbleweed Connection"
"Elton John",1988,"I Don't Wanna Go On With You Like That","Tumbleweed Connection"
"Elton John",1983,"I'm Still Standing","Tumbleweed Connection"
"Elton John",1994,"Circle of Life","Tumbleweed Connection"
"Elton John",1975,"Someone Saved My Life Tonight","Tumbleweed Connection"
"Elton John",1990,"You Gotta Love Someone","Tumbleweed Connection"
"Elton John",1983,"I Guess That's Why They Call it the Blues","Tumbleweed Connection"
"Elton John",1974,"The Bitch is Back","Tumbleweed Connection"
"Elton John",1976,"Sorry Seems to Be the Hardest Word","Tumbleweed Connection"
"Elton John",1982,"Blue Eyes","Tumbleweed Connection"
"Elton John",1984,"Sad Songs (Say So Much)","Tumbleweed Connection"
"Elton John",1982,"Empty Garden (Hey Hey Johnny)","Tumbleweed Connection"
"The Moody Blues",1968,"Nights in White Satin","Every Good Boy Deserves Favour"
"The Moody Blues",1970,Question,"Every Good Boy Deserves Favour"
"The Moody Blues",1965,"Go Now","Every Good Boy Deserves Favour"
"The Allman Brothers Band",1973,"Ramblin' Man","Live at the Fillmore East"
"Black Sabbath",1970,Paranoid,"Master Of Reality"
"James Taylor",1971,"You've Got a Friend","Mud Slide Slim & The Blue Horizon"
"James Taylor",1970,"Fire & Rain","Mud Slide Slim & The Blue Horizon"
"James Taylor",1977,"Handy Man","Mud Slide Slim & The Blue Horizon"
"James Taylor",1975,"How Sweet it is (to be Loved by You)","Mud Slide Slim & The Blue Horizon"
"Francis Lai",1971,"Theme From 'Love Story'","Love Story"
Chicago,1976,"If You Leave Me Now","Chicago III"
Chicago,1982,"Hard to Say I'm Sorry","Chicago III"
Chicago,1989,"Look Away","Chicago III"
Chicago,1970,"25 Or 6 to 4","Chicago III"
Chicago,1985,"You're the Inspiration","Chicago III"
Chicago,1972,"Saturday in the Park","Chicago III"
Chicago,1973,"Just You 'n' Me","Chicago III"
"Crosby, Stills, Nash & Young",1970,Ohio,"Four-Way Street"
"Crosby, Stills, Nash & Young",1970,Woodstock,"Four-Way Street"
"The Doors",1967,"Light My Fire","La Woman"
"The Doors",1969,"Touch Me","La Woman"
"The Doors",1971,"Riders On the Storm","La Woman"
"The Doors",1968,"Hello, I Love You, Won't You Tell Me Your Name?","La Woman"
Santana,2000,"Maria Maria","Santana III"
Santana,1970,"Black Magic Woman","Santana III"
Santana,1971,"Oye Como Va","Santana III"
"Deep Purple",1973,"Smoke On the Water",Fireball
"Deep Purple",1970,"Black Night",Fireball
"Deep Purple",1968,Hush,Fireball
"Sly & The Family Stone",1971,"Family Affair","There's A Riot Goin' On"
"Sly & The Family Stone",1968,"Dance to the Music","There's A Riot Goin' On"
"Sly & The Family Stone",1969,"Everyday People","There's A Riot Goin' On"
"Sly & The Family Stone",1970,"Thank You (Falettinme be Mice Elf Again)","There's A Riot Goin' On"
"Pink Floyd",1980,"Another Brick in the Wall (part 2)",Meddle
"Pink Floyd",1973,Money,Meddle
"Pink Floyd",1975,"Wish You Were Here",Meddle
"David Bowie",1983,"Let's Dance","Hunky Dory"
"David Bowie",1975,Fame,"Hunky Dory"
"David Bowie",1973,"Space Oddity","Hunky Dory"
